Date,Time,Open,High,Low,Close,Volume,Turnover,OpenInterest
8/2/95,0:00:00,4679.59,4755.66,4670.43,4732.77,0,0,0
8/3/95,0:00:00,4732.77,4739.46,4649.65,4679.23,0,0,0
8/4/95,0:00:00,4679.59,4709.52,4672.54,4693.32,0,0,0
8/5/95,0:00:00,4692.62,4695.43,4682.05,4683.46,0,0,0
8/7/95,0:00:00,4683.46,4701.07,4683.46,4696.14,0,0,0
8/8/95,0:00:00,4695.43,4702.83,4687.69,4691.21,0,0,0
8/9/95,0:00:00,4691.21,4697.2,4668.32,4682.4,0,0,0
8/10/95,0:00:00,4682.05,4690.86,4667.96,4674.3,0,0,0
8/11/95,0:00:00,4673.95,4676.77,4611.61,4626.4,0,0,0
8/12/95,0:00:00,4625.7,4628.16,4598.93,4618.3,0,0,0
8/14/95,0:00:00,4617.6,4637.32,4615.13,4632.04,0,0,0
8/15/95,0:00:00,4631.34,4660.92,4620.42,4626.4,0,0,0
8/16/95,0:00:00,4626.76,4648.24,4614.43,4636.97,0,0,0
8/17/95,0:00:00,4636.97,4643.31,4606.68,4630.28,0,0,0
8/18/95,0:00:00,4630.28,4647.18,4619.36,4620.42,0,0,0
8/19/95,0:00:00,4620.77,4638.38,4612.67,4617.6,0,0,0
8/21/95,0:00:00,4617.95,4656.34,4614.08,4614.78,0,0,0
8/22/95,0:00:00,4614.43,4623.59,4596.12,4620.42,0,0,0
8/23/95,0:00:00,4622.18,4623.94,4584.49,4584.85,0,0,0
8/24/95,0:00:00,4585.2,4595.41,4573.22,4580.62,0,0,0
8/25/95,0:00:00,4617.6,4617.6,4580.27,4601.4,0,0,0
8/28/95,0:00:00,4602.1,4620.77,4580.27,4594,0,0,0
8/29/95,0:00:00,4594.36,4609.85,4571.46,4608.44,0,0,0
8/30/95,0:00:00,4609.5,4621.12,4601.05,4604.57,0,0,0
8/31/95,0:00:00,4604.22,4615.84,4600.69,4610.56,0,0,0
9/1/95,0:00:00,4611.26,4648.59,4607.03,4647.54,0,0,0
9/4/95,0:00:00,4647.54,4647.54,4647.54,4647.54,0,0,0
9/5/95,0:00:00,4648.95,4678.88,4645.78,4670.08,0,0,0
9/6/95,0:00:00,4669.72,4694.03,4669.72,4683.81,0,0,0
9/7/95,0:00:00,4683.11,4688.04,4663.74,4669.72,0,0,0
9/8/95,0:00:00,4669.72,4701.07,4664.79,4700.72,0,0,0
9/11/95,0:00:00,4700.37,4723.61,4698.96,4704.94,0,0,0
9/12/95,0:00:00,4704.24,4747.21,4704.24,4747.21,0,0,0
9/13/95,0:00:00,4747.21,4771.16,4733.47,4765.52,0,0,0
9/14/95,0:00:00,4767.28,4801.8,4759.89,4801.8,0,0,0
9/15/95,0:00:00,4802.15,4814.83,4784.54,4797.57,0,0,0
9/18/95,0:00:00,4795.76,4796.67,4756.2,4780.41,0,0,0
9/19/95,0:00:00,4780.77,4781.13,4730.91,4767.04,0,0,0
9/20/95,0:00:00,4766.32,4795.95,4763.07,4792.69,0,0,0
9/21/95,0:00:00,4790.89,4794.14,4743.56,4767.4,0,0,0
9/22/95,0:00:00,4767.76,4773.19,4728.75,4764.15,0,0,0
9/25/95,0:00:00,4765.6,4769.93,4744.64,4769.93,0,0,0
9/26/95,0:00:00,4770.66,4798.11,4755.48,4765.6,0,0,0
9/27/95,0:00:00,4763.07,4763.07,4712.49,4762.35,0,0,0
9/28/95,0:00:00,4763.43,4787.64,4757.65,4787.64,0,0,0
9/29/95,0:00:00,4788.36,4816.54,4782.58,4789.08,0,0,0
10/2/95,0:00:00,4788.72,4789.8,4748.98,4761.26,0,0,0
10/3/95,0:00:00,4761.98,4766.68,4716.1,4749.7,0,0,0
10/4/95,0:00:00,4749.34,4749.34,4726.94,4740.67,0,0,0
10/5/95,0:00:00,4739.95,4762.71,4735.97,4762.71,0,0,0
10/6/95,0:00:00,4762.35,4781.13,4747.17,4769.21,0,0,0
10/9/95,0:00:00,4768.13,4768.13,4712.13,4726.22,0,0,0
10/10/95,0:00:00,4724.77,4726.58,4659.74,4720.8,0,0,0
10/11/95,0:00:00,4720.08,4738.5,4711.77,4735.25,0,0,0
10/12/95,0:00:00,4737.06,4764.88,4736.33,4764.88,0,0,0
10/13/95,0:00:00,4765.6,4816.9,4765.6,4793.78,0,0,0
10/16/95,0:00:00,4794.14,4796.67,4773.18,4784.38,0,0,0
10/17/95,0:00:00,4784.75,4797.75,4771.38,4795.94,0,0,0
10/18/95,0:00:00,4795.94,4810.76,4771.02,4777.52,0,0,0
10/19/95,0:00:00,4777.52,4802.45,4770.29,4802.45,0,0,0
10/20/95,0:00:00,4801.73,4815.45,4786.91,4794.86,0,0,0
10/23/95,0:00:00,4795.22,4795.22,4753.67,4755.48,0,0,0
10/24/95,0:00:00,4755.84,4788.72,4755.84,4783.66,0,0,0
10/25/95,0:00:00,4784.02,4800.28,4733.8,4753.68,0,0,0
10/26/95,0:00:00,4754.4,4754.4,4668.05,4703.82,0,0,0
10/27/95,0:00:00,4703.82,4742.12,4676,4741.75,0,0,0
10/30/95,0:00:00,4756.93,4765.6,4747.9,4756.57,0,0,0
10/31/95,0:00:00,4759.46,4801.01,4755.48,4755.48,0,0,0
11/1/95,0:00:00,4754.76,4770.3,4744.64,4766.68,0,0,0
11/2/95,0:00:00,4767.04,4808.59,4767.04,4808.59,0,0,0
11/3/95,0:00:00,4807.87,4825.57,4802.45,4825.57,0,0,0
11/6/95,0:00:00,4826.65,4832.07,4810.03,4814.01,0,0,0
11/7/95,0:00:00,4814.73,4818.34,4788.72,4797.03,0,0,0
11/8/95,0:00:00,4797.75,4852.67,4796.67,4852.67,0,0,0
11/9/95,0:00:00,4853.39,4878.68,4842.91,4864.23,0,0,0
11/10/95,0:00:00,4863.86,4873.62,4840.38,4870.37,0,0,0
11/13/95,0:00:00,4869.29,4886.63,4847.61,4872.9,0,0,0
11/14/95,0:00:00,4873.26,4890.6,4862.06,4871.81,0,0,0
11/15/95,0:00:00,4872.54,4922.76,4860.25,4922.75,0,0,0
11/16/95,0:00:00,4921.67,4973.7,4920.22,4969.36,0,0,0
11/17/95,0:00:00,4969.72,4996.82,4958.88,4989.95,0,0,0
11/20/95,0:00:00,4989.59,5003.68,4976.58,4983.09,0,0,0
11/21/95,0:00:00,4980.92,5024.27,4976.58,5023.55,0,0,0
11/22/95,0:00:00,5023.19,5067.27,5019.21,5041.61,0,0,0
11/23/95,0:00:00,5041.61,5041.61,5041.61,5041.61,0,0,0
11/24/95,0:00:00,5041.98,5057.51,5041.98,5048.84,0,0,0
11/27/95,0:00:00,5048.84,5089.66,5048.84,5070.88,0,0,0
11/28/95,0:00:00,5071.6,5078.46,5033.66,5078.1,0,0,0
11/29/95,0:00:00,5078.82,5105.56,5076.3,5105.56,0,0,0
11/30/95,0:00:00,5106.28,5118.93,5074.49,5090.02,0,0,0
12/1/95,0:00:00,5074.49,5107.01,5073.41,5087.13,0,0,0
12/4/95,0:00:00,5086.41,5139.52,5074.13,5139.52,0,0,0
